PropLocation,Address,City,State,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"10 SADDLEWOOD COURT      ","10 SADDLEWOOD COURT","Jersey City",NJ,40.721879,-74.041322,1,rooftop,10,"Saddlewood Ct","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"12 SADDLEWOOD COURT      ","12 SADDLEWOOD COURT","Jersey City",NJ,40.721933,-74.041314,1,rooftop,12,"Saddlewood Ct","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"14 SADDLEWOOD COURT      ","14 SADDLEWOOD COURT","Jersey City",NJ,40.721988,-74.041305,1,rooftop,14,"Saddlewood Ct","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"16 SADDLEWOOD COURT      ","16 SADDLEWOOD COURT","Jersey City",NJ,40.722042,-74.041297,1,rooftop,16,"Saddlewood Ct","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"18 SADDLEWOOD COURT      ","18 SADDLEWOOD COURT","Jersey City",NJ,40.722099,-74.041288,1,rooftop,18,"Saddlewood Ct","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"20 SADDLEWOOD COURT      ","20 SADDLEWOOD COURT","Jersey City",NJ,40.722157,-74.041192,1,rooftop,20,"Saddlewood Ct","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"382 MARIN BLVD.          ","382 MARIN BLVD.","Jersey City",NJ,40.719934,-74.041218,0.8,street_center,,"Co Rd 637","Jersey City",NJ,"Hudson County",07302,US,"TIGER/Line® dataset from the US Census Bureau"
"380 MARIN BLVD.          ","380 MARIN BLVD.","Jersey City",NJ,40.719934,-74.041218,0.8,street_center,,"Co Rd 637","Jersey City",NJ,"Hudson County",07302,US,"TIGER/Line® dataset from the US Census Bureau"
"159 SECOND ST.           ","159 SECOND ST.","Jersey City",NJ,40.722036,-74.039763,1,rooftop,159,"2nd St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"160 FIRST ST.            ","160 FIRST ST.","Jersey City",NJ,40.721575,-74.039719,1,range_interpolation,160,"1st St","Jersey City",NJ,"Hudson County",07302,US,"TIGER/Line® dataset from the US Census Bureau"
"140 BAY ST.              ","140 BAY ST.","Jersey City",NJ,40.720739,-74.039011,1,rooftop,140,"Bay St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"140 BAY STREET           ","140 BAY STREET","Jersey City",NJ,40.720739,-74.039011,1,rooftop,140,"Bay St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"199 BAY STREET           ","199 BAY STREET","Jersey City",NJ,40.720803,-74.042246,1,rooftop,199,"Bay St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"197 BAY ST.              ","197 BAY ST.","Jersey City",NJ,40.720795,-74.042157,1,rooftop,197,"Bay St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"191 BAY ST.              ","191 BAY ST.","Jersey City",NJ,40.720772,-74.041889,1,rooftop,191,"Bay St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"182 MORGAN ST.           ","182 MORGAN ST.","Jersey City",NJ,40.720228,-74.041509,1,rooftop,182,"Morgan St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"198 MORGAN ST.           ","198 MORGAN ST.","Jersey City",NJ,40.720422,-74.042235,1,rooftop,198,"Morgan St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"194 BAY ST.              ","194 BAY ST.","Jersey City",NJ,40.720987,-74.041979,1,rooftop,194,"Bay St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"196 BAY ST.              ","196 BAY ST.","Jersey City",NJ,40.720993,-74.042047,1,rooftop,196,"Bay St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"354 GROVE ST.            ","354 GROVE ST.","Jersey City",NJ,40.721109,-74.042461,1,rooftop,354,"Grove St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"2 SECOND ST.             ","2 SECOND ST.","Jersey City",NJ,40.7216,-74.031884,1,rooftop,2,"2nd St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"20 SECOND ST.            ","20 SECOND ST.","Jersey City",NJ,40.721734,-74.033009,1,rooftop,20,"2nd St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"65 SECOND ST.            ","65 SECOND ST.","Jersey City",NJ,40.721394,-74.035497,1,rooftop,65,"2nd St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"389 WASHINGTON ST.       ","389 WASHINGTON ST.","Jersey City",NJ,40.721753,-74.036722,1,rooftop,389,"Washington Blvd","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"88 MORGAN ST.            ","88 MORGAN ST.","Jersey City",NJ,40.719968,-74.035825,1,rooftop,88,"Morgan St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"311 WASHINGTON ST.       ","311 WASHINGTON ST.","Jersey City",NJ,40.719155,-74.037388,1,rooftop,311,"Washington St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"15 EMERSON AVE.          ","15 EMERSON AVE.","Jersey City",NJ,40.733327,-74.077414,1,rooftop,15,"Emerson Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"11 EMERSON AVE.          ","11 EMERSON AVE.","Jersey City",NJ,40.733174,-74.077508,1,rooftop,11,"Emerson Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"9 EMERSON AVE.           ","9 EMERSON AVE.","Jersey City",NJ,40.733111,-74.077546,1,rooftop,9,"Emerson Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"7 EMERSON AVE.           ","7 EMERSON AVE.","Jersey City",NJ,40.733049,-74.077584,1,rooftop,7,"Emerson Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"5 EMERSON AVE.           ","5 EMERSON AVE.","Jersey City",NJ,40.732988,-74.077622,1,rooftop,5,"Emerson Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"3 EMERSON AVE.           ","3 EMERSON AVE.","Jersey City",NJ,40.732925,-74.07766,1,rooftop,3,"Emerson Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"1 EMERSON AVE.           ","1 EMERSON AVE.","Jersey City",NJ,40.732861,-74.077699,1,rooftop,1,"Emerson Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"355-357 SIP AVE.         ","355-357 SIP AVE.","Jersey City",NJ,40.733344,-74.077059,1,rooftop,357,"Sip Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"353 SIP AVE.             ","353 SIP AVE.","Jersey City",NJ,40.73332,-74.076901,1,rooftop,353,"Sip Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"351 SIP AVE.             ","351 SIP AVE.","Jersey City",NJ,40.733299,-74.076813,1,rooftop,351,"Sip Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"349 SIP AVE.             ","349 SIP AVE.","Jersey City",NJ,40.733278,-74.076726,1,rooftop,349,"Sip Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
