PropLocation,Address,City,State,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"48 SOUTH ST.             ","48 SOUTH ST.","Jersey City",NJ,40.748133,-74.043527,1,rooftop,48,"South St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"32 SOUTH ST.             ","32 SOUTH ST.","Jersey City",NJ,40.747888,-74.042704,1,rooftop,32,"South St","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"354 NEW YORK AVE.        ","354 NEW YORK AVE.","Jersey City",NJ,40.748113,-74.042409,1,rooftop,354,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"356 NEW YORK AVE.        ","356 NEW YORK AVE.","Jersey City",NJ,40.74818,-74.042369,1,rooftop,356,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"358 NEW YORK AVE.        ","358 NEW YORK AVE.","Jersey City",NJ,40.748236,-74.042312,1,rooftop,358,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"360 NEW YORK AVE.        ","360 NEW YORK AVE.","Jersey City",NJ,40.748297,-74.042273,1,rooftop,360,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"362 NEW YORK AVE.        ","362 NEW YORK AVE.","Jersey City",NJ,40.748359,-74.042233,1,rooftop,362,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"364 NEW YORK AVE.        ","364 NEW YORK AVE.","Jersey City",NJ,40.748421,-74.042193,1,rooftop,364,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"366 NEW YORK AVE.        ","366 NEW YORK AVE.","Jersey City",NJ,40.748482,-74.042153,1,rooftop,366,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"368 NEW YORK AVE.        ","368 NEW YORK AVE.","Jersey City",NJ,40.748544,-74.042113,1,rooftop,368,"New York Ave","Jersey City",NJ,"Hudson County",07307,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
