PropLocation,Address,City,State,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"140 BROADWAY             ","140 BROADWAY","Jersey City",NJ,40.736933,-74.07426,1,rooftop,140,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"110 WALES AVE.           ","110 WALES AVE.","Jersey City",NJ,40.736769,-74.07262,1,rooftop,110,"Wales Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"85 BROADWAY              ","85 BROADWAY","Jersey City",NJ,40.735734,-74.07187,1,rooftop,85,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"79 BROADWAY              ","79 BROADWAY","Jersey City",NJ,40.73585,-74.071466,1,rooftop,79,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"75 BROADWAY              ","75 BROADWAY","Jersey City",NJ,40.735802,-74.071297,1,rooftop,75,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"71 BROADWAY              ","71 BROADWAY","Jersey City",NJ,40.735753,-74.071128,1,rooftop,71,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"1055 WEST SIDE AVE       ","1055 WEST SIDE AVE","Jersey City",NJ,40.73542,-74.071048,1,rooftop,1055,"W Side Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"10 MARION PL.            ","10 MARION PL.","Jersey City",NJ,40.735276,-74.071366,1,rooftop,10,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"12 MARION PL.            ","12 MARION PL.","Jersey City",NJ,40.7353,-74.071451,1,rooftop,12,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"14 MARION PL.            ","14 MARION PL.","Jersey City",NJ,40.735325,-74.071535,1,rooftop,14,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"16 MARION PL.            ","16 MARION PL.","Jersey City",NJ,40.735349,-74.07162,1,rooftop,16,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"18 MARION PL.            ","18 MARION PL.","Jersey City",NJ,40.735373,-74.071705,1,rooftop,18,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"20 MARION PL.            ","20 MARION PL.","Jersey City",NJ,40.735398,-74.071791,1,rooftop,20,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"22 MARION PL.            ","22 MARION PL.","Jersey City",NJ,40.735423,-74.071878,1,rooftop,22,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"24 MARION PL.            ","24 MARION PL.","Jersey City",NJ,40.735447,-74.071962,1,rooftop,24,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"26 MARION PL.            ","26 MARION PL.","Jersey City",NJ,40.735472,-74.072047,1,rooftop,26,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"28 MARION PL.            ","28 MARION PL.","Jersey City",NJ,40.735498,-74.07214,1,rooftop,28,"Marion Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"86 GILES AVE.            ","86 GILES AVE.","Jersey City",NJ,40.7357,-74.072146,1,rooftop,86,"Giles Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"150 ROMAINE AVE.         ","150 ROMAINE AVE.","Jersey City",NJ,40.734866,-74.067694,1,rooftop,150,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"109 TONNELE AVE.         ","109 TONNELE AVE.","Jersey City",NJ,40.734607,-74.067326,0.9,rooftop,109,"Tonnelle Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"107 TONNELE AVE.         ","107 TONNELE AVE.","Jersey City",NJ,40.734534,-74.067343,0.9,rooftop,107,"Tonnelle Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"151 GARRISON AVE.        ","151 GARRISON AVE.","Jersey City",NJ,40.733932,-74.067569,1,rooftop,151,"Garrison Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"149 GARRISON AVE.        ","149 GARRISON AVE.","Jersey City",NJ,40.73387,-74.067607,1,rooftop,149,"Garrison Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"147 GARRISON AVE.        ","147 GARRISON AVE.","Jersey City",NJ,40.733807,-74.067646,1,rooftop,147,"Garrison Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"145 GARRISON AVE.        ","145 GARRISON AVE.","Jersey City",NJ,40.733754,-74.067761,1,rooftop,145,"Garrison Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"860 PAVONIA AVE.         ","860 PAVONIA AVE.","Jersey City",NJ,40.733813,-74.068059,1,rooftop,860,"Pavonia Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"862 PAVONIA AVE.         ","862 PAVONIA AVE.","Jersey City",NJ,40.733832,-74.068148,1,rooftop,862,"Pavonia Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"864 PAVONIA AVE.         ","864 PAVONIA AVE.","Jersey City",NJ,40.73385,-74.068236,1,rooftop,864,"Pavonia Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"126 ROMAINE AVE.         ","126 ROMAINE AVE.","Jersey City",NJ,40.734147,-74.068173,1,rooftop,126,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"128 ROMAINE AVE.         ","128 ROMAINE AVE.","Jersey City",NJ,40.734209,-74.068135,1,rooftop,128,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"130 ROMAINE AVE.         ","130 ROMAINE AVE.","Jersey City",NJ,40.734272,-74.068096,1,rooftop,130,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"132 ROMAINE AVE.         ","132 ROMAINE AVE.","Jersey City",NJ,40.734334,-74.068058,1,rooftop,132,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"134 ROMAINE AVE.         ","134 ROMAINE AVE.","Jersey City",NJ,40.734396,-74.06802,1,rooftop,134,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"136 ROMAINE AVE.         ","136 ROMAINE AVE.","Jersey City",NJ,40.734458,-74.067982,1,rooftop,136,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"138 ROMAINE AVE.         ","138 ROMAINE AVE.","Jersey City",NJ,40.73452,-74.067944,1,rooftop,138,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"140 ROMAINE AVE.         ","140 ROMAINE AVE.","Jersey City",NJ,40.734582,-74.067906,1,rooftop,140,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"142 ROMAINE AVE.         ","142 ROMAINE AVE.","Jersey City",NJ,40.734648,-74.067865,1,rooftop,142,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"144 ROMAINE AVE.         ","144 ROMAINE AVE.","Jersey City",NJ,40.734718,-74.067822,1,rooftop,144,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"148 ROMAINE AVE.         ","148 ROMAINE AVE.","Jersey City",NJ,40.734788,-74.067779,1,rooftop,148,"Romaine Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"45 BROADWAY              ","45 BROADWAY","Jersey City",NJ,40.735172,-74.069607,1,rooftop,45,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
