PropLocation,Address,City,State,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"315 TENTH STREET         ","315 TENTH STREET","Jersey City",NJ,40.729234,-74.047485,1,rooftop,315,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"313 TENTH STREET         ","313 TENTH STREET","Jersey City",NJ,40.729229,-74.047429,1,rooftop,313,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"311 TENTH STREET         ","311 TENTH STREET","Jersey City",NJ,40.729224,-74.047372,1,rooftop,311,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"309 TENTH STREET         ","309 TENTH STREET","Jersey City",NJ,40.729219,-74.047315,1,rooftop,309,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"307 TENTH STREET         ","307 TENTH STREET","Jersey City",NJ,40.729214,-74.047258,1,rooftop,307,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"305 TENTH STREET         ","305 TENTH STREET","Jersey City",NJ,40.729209,-74.047202,1,rooftop,305,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"303 TENTH STREET         ","303 TENTH STREET","Jersey City",NJ,40.729204,-74.047145,1,rooftop,303,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"301 TENTH STREET         ","301 TENTH STREET","Jersey City",NJ,40.729198,-74.047075,1,rooftop,301,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"185 COLES ST.            ","185 COLES ST.","Jersey City",NJ,40.729173,-74.046793,1,rooftop,185,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"183 COLES ST.            ","183 COLES ST.","Jersey City",NJ,40.729077,-74.046716,1,rooftop,183,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"181 COLES ST.            ","181 COLES ST.","Jersey City",NJ,40.729022,-74.046725,1,rooftop,181,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"179 COLES ST.            ","179 COLES ST.","Jersey City",NJ,40.728967,-74.046733,1,rooftop,179,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"177A COLES ST.           ","177A COLES ST.","Jersey City",NJ,40.728912,-74.046742,1,rooftop,"177 A","Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"177 COLES ST.            ","177 COLES ST.","Jersey City",NJ,40.728857,-74.04675,1,rooftop,177,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"175 COLES ST.            ","175 COLES ST.","Jersey City",NJ,40.728803,-74.046759,1,rooftop,175,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"173 COLES ST.            ","173 COLES ST.","Jersey City",NJ,40.728748,-74.046767,1,rooftop,173,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"171 COLES ST.            ","171 COLES ST.","Jersey City",NJ,40.728668,-74.046867,1,rooftop,171,"Coles St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"300 NINTH ST.            ","300 NINTH ST.","Jersey City",NJ,40.728694,-74.047169,1,rooftop,300,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"302 NINTH ST.            ","302 NINTH ST.","Jersey City",NJ,40.728703,-74.047264,1,rooftop,302,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"304 NINTH ST.            ","304 NINTH ST.","Jersey City",NJ,40.728709,-74.047335,1,rooftop,304,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"306 NINTH ST.            ","306 NINTH ST.","Jersey City",NJ,40.728715,-74.047406,1,rooftop,306,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"308 NINTH ST.            ","308 NINTH ST.","Jersey City",NJ,40.728721,-74.047477,1,rooftop,308,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"310 NINTH ST.            ","310 NINTH ST.","Jersey City",NJ,40.728728,-74.047548,1,rooftop,310,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"310A NINTH ST.           ","310A NINTH ST.","Jersey City",NJ,40.728734,-74.047619,1,rooftop,"310 A","9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"312 NINTH ST.            ","312 NINTH ST.","Jersey City",NJ,40.72874,-74.04769,1,rooftop,312,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"312A NINTH ST.           ","312A NINTH ST.","Jersey City",NJ,40.728746,-74.047761,1,rooftop,"312 A","9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"314 NINTH ST             ","314 NINTH ST","Jersey City",NJ,40.728753,-74.047832,1,rooftop,314,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"316 NINTH ST.            ","316 NINTH ST.","Jersey City",NJ,40.728759,-74.047903,1,rooftop,316,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"318 NINTH ST.            ","318 NINTH ST.","Jersey City",NJ,40.728765,-74.047973,1,rooftop,318,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"320 NINTH ST.            ","320 NINTH ST.","Jersey City",NJ,40.728771,-74.048044,1,rooftop,320,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"322 NINTH ST.            ","322 NINTH ST.","Jersey City",NJ,40.728833,-74.048144,1,rooftop,322,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"205 TENTH ST.            ","205 TENTH ST.","Jersey City",NJ,40.728548,-74.042278,1,rooftop,205,"10th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"521 MANILA AVE           ","521 MANILA AVE","Jersey City",NJ,40.728494,-74.04172,1,rooftop,521,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"519.5 MANILA AVE.        ","519.5 MANILA AVE.","Jersey City",NJ,40.728084,-74.041855,0.8,street_center,,"Co Rd 635","Jersey City",NJ,"Hudson County",07302,US,"TIGER/Line® dataset from the US Census Bureau"
"519 MANILA AVE           ","519 MANILA AVE","Jersey City",NJ,40.728403,-74.041734,1,rooftop,519,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"517 MANILA AVE.          ","517 MANILA AVE.","Jersey City",NJ,40.728357,-74.041741,1,rooftop,517,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"515 MANILA AVE           ","515 MANILA AVE","Jersey City",NJ,40.72829,-74.041812,1,rooftop,515,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"212 NINTH ST.            ","212 NINTH ST.","Jersey City",NJ,40.728264,-74.042498,1,rooftop,212,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"214 NINTH ST.            ","214 NINTH ST.","Jersey City",NJ,40.728272,-74.042588,1,rooftop,214,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"216 NINTH ST.            ","216 NINTH ST.","Jersey City",NJ,40.72828,-74.042678,1,rooftop,216,"9th St","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"528 MANILA AVE           ","528 MANILA AVE","Jersey City",NJ,40.728692,-74.041343,1,rooftop,528,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"516 MANILA AVE.          ","516 MANILA AVE.","Jersey City",NJ,40.728249,-74.041485,1,rooftop,516,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"516.A  MANILA AVE        ","516.A MANILA AVE","Jersey City",NJ,40.728298,-74.041477,1,rooftop,"516 A","Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"518 MANILA AVE           ","518 MANILA AVE","Jersey City",NJ,40.728347,-74.04147,1,rooftop,518,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"520 MANILA AVE           ","520 MANILA AVE","Jersey City",NJ,40.728396,-74.041462,1,rooftop,520,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"520.5 MANILA AVE.        ","520.5 MANILA AVE.","Jersey City",NJ,40.728084,-74.041855,0.8,street_center,,"Co Rd 635","Jersey City",NJ,"Hudson County",07302,US,"TIGER/Line® dataset from the US Census Bureau"
"522 MANILA AVE.          ","522 MANILA AVE.","Jersey City",NJ,40.728494,-74.041448,1,rooftop,522,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"524 MANILA AVE           ","524 MANILA AVE","Jersey City",NJ,40.728543,-74.04144,1,rooftop,524,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"524.5 MANILA AVENUE      ","524.5 MANILA AVENUE","Jersey City",NJ,40.728084,-74.041855,0.8,street_center,,"Co Rd 635","Jersey City",NJ,"Hudson County",07302,US,"TIGER/Line® dataset from the US Census Bureau"
"526 MANILA AVE           ","526 MANILA AVE","Jersey City",NJ,40.728641,-74.041425,1,rooftop,526,"Manila Ave","Jersey City",NJ,"Hudson County",07302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"25 FAYETTE AVE.          ","25 FAYETTE AVE.","Jersey City",NJ,40.737295,-74.073051,1,rooftop,25,"Fayette Pl","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"115 WALES AVE.           ","115 WALES AVE.","Jersey City",NJ,40.737214,-74.072769,1,rooftop,115,"Wales Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"113 WALES AVE.           ","113 WALES AVE.","Jersey City",NJ,40.737099,-74.072746,1,rooftop,113,"Wales Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"111 WALES                ","111 WALES","Jersey City",NJ,40.737035,-74.072778,1,rooftop,111,"Wales Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"109 WALES AVE.           ","109 WALES AVE.","Jersey City",NJ,40.736971,-74.072809,1,rooftop,109,"Wales Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"107 WALES                ","107 WALES","Jersey City",NJ,40.736906,-74.072841,1,rooftop,107,"Wales Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"105 WALES                ","105 WALES","Jersey City",NJ,40.736842,-74.072873,1,rooftop,105,"Wales Ave","Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"110 BROADWAY             ","110 BROADWAY","Jersey City",NJ,40.736623,-74.072981,1,rooftop,110,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"112 BROADWAY             ","112 BROADWAY","Jersey City",NJ,40.736597,-74.073094,1,rooftop,112,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"114 BROADWAY             ","114 BROADWAY","Jersey City",NJ,40.736626,-74.073192,1,rooftop,114,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"116 BROADWAY             ","116 BROADWAY","Jersey City",NJ,40.736651,-74.073278,1,rooftop,116,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"118 BROADWAY             ","118 BROADWAY","Jersey City",NJ,40.736678,-74.073374,1,rooftop,118,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"120 BROADWAY             ","120 BROADWAY","Jersey City",NJ,40.736705,-74.073467,1,rooftop,120,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"122 BROADWAY             ","122 BROADWAY","Jersey City",NJ,40.736729,-74.073552,1,rooftop,122,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"124 BROADWAY             ","124 BROADWAY","Jersey City",NJ,40.736752,-74.073631,1,rooftop,124,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"126 BROADWAY             ","126 BROADWAY","Jersey City",NJ,40.736771,-74.073695,1,rooftop,126,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"128 BROADWAY             ","128 BROADWAY","Jersey City",NJ,40.73679,-74.073764,1,rooftop,128,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"130 BROADWAY             ","130 BROADWAY","Jersey City",NJ,40.736812,-74.073839,1,rooftop,130,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"132 BROADWAY             ","132 BROADWAY","Jersey City",NJ,40.736833,-74.073914,1,rooftop,132,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"134 BROADWAY             ","134 BROADWAY","Jersey City",NJ,40.736852,-74.073979,1,rooftop,134,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"134.5 BROADWAY           ","134.5 BROADWAY","Jersey City",NJ,40.735545,-74.070576,0.8,street_center,,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"TIGER/Line® dataset from the US Census Bureau"
"136 BROADWAY             ","136 BROADWAY","Jersey City",NJ,40.736884,-74.074091,1,rooftop,136,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"138 BROADWAY             ","138 BROADWAY","Jersey City",NJ,40.7369,-74.074147,1,rooftop,138,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"138.5 BROADWAY           ","138.5 BROADWAY","Jersey City",NJ,40.735545,-74.070576,0.8,street_center,,Broadway,"Jersey City",NJ,"Hudson County",07306,US,"TIGER/Line® dataset from the US Census Bureau"
